"regularity","method_id","target_id","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction"
"exact_knot","V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",1600,0.88,0.00812403840463596,0.0690309078912021,0.066288248621085,0.00327548198302346,0,1
"exact_knot","V4-CMP-MOKKEN-TWOLEVEL-DELTA-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.9725,0.00408837911035657,0.100177020878297,0.0912857854430469,0.00327548198301921,0,1
"exact_knot","V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.93125,0.00632571327499911,0.0790096856949988,0.0748367479344537,0.00327548198302346,0,1
"exact_knot","V4-CMP-TWO-STAGE-FREQ-BOOT-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.98,0.0035,0.105917586486379,0.101045845991217,0.00327548198302346,0,1
"exact_knot","V4-DIAG-WITHIN-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.86125,0.00864213650884433,0.0650160895452055,0.0624115698960346,0.00327548198302346,0,1
"near_knot","V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",1600,0.899375,0.00752078824721019,0.073809094289668,0.0699798138237943,-0.000111016499467641,0,1
"near_knot","V4-CMP-MOKKEN-TWOLEVEL-DELTA-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.966875,0.0044740735336352,0.102033235572717,0.0941504975772766,-0.000111016499468817,0,1
"near_knot","V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.92125,0.00673370428794583,0.0811837547616259,0.0723511672151123,-0.000111016499467641,0,1
"near_knot","V4-CMP-TWO-STAGE-FREQ-BOOT-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.984375,0.00310048981765382,0.110605833562817,0.0988938625939046,-0.000111016499467641,0,1
"near_knot","V4-DIAG-WITHIN-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",1600,0.870625,0.00839036312440499,0.0691977532308098,0.0661589585725239,-0.000111016499467641,0,1
"regular","V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",6400,0.91484375,0.0034889258529206,0.0691218610658303,0.0634243026854681,-0.0012664690221289,0,1
"regular","V4-CMP-MOKKEN-TWOLEVEL-DELTA-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",6400,0.9809375,0.00170930912093115,0.0939391468762844,0.0899727176126266,-0.00126646902213159,0,1
"regular","V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",6400,0.92609375,0.00327022830364471,0.0734206215521813,0.0693280648759539,-0.0012664690221289,0,1
"regular","V4-CMP-TWO-STAGE-FREQ-BOOT-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",6400,0.9896875,0.00126281879290377,0.101157472189678,0.0962140244187062,-0.0012664690221289,0,1
"regular","V4-DIAG-WITHIN-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",6400,0.895625,0.00382182996447301,0.0651578620694081,0.0598759052292512,-0.0012664690221289,0,1
