"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T10",1,2026175702,1,2000,2000,2000,0,"f32f9f1d9f9cbdd3cf313aedda9c702c8d88b6f0a541e68b561019c65e3e8444"
"P17-T10",2,2026175703,2001,4000,2000,2000,0,"f7ace25d170d1efd8dc5e6495c927c84f40230dc62155316b2e7259ec77bbf11"
"P17-T10",3,2026175704,4001,6000,2000,2000,0,"d832cc2456024987095c66a33b233d16b029d4440b862bd572d32859f78082cf"
"P17-T10",4,2026175705,6001,8000,2000,2000,0,"972c1bd8f1e2e7c143c4568b0a213c45f7e79e1383dabd6fff458a9a1e532510"
"P17-T10",5,2026175706,8001,10000,2000,2000,0,"5a07189e02870f9afb1d3400dd8a812520f29e5f51901957ae784846fb1eb0b9"
"P17-T10",6,2026175707,10001,12000,2000,2000,0,"7c88e0abff2acb4556b312c34af03497a9adcddc04046d77cbdb8ee0ab7ab40e"
"P17-T10",7,2026175708,12001,14000,2000,2000,0,"fe1aea1810bdbc12d65f301019324077d7d3f23cbb467456ade1d11038d755b7"
"P17-T10",8,2026175709,14001,16000,2000,2000,0,"cb16a2560b700c3363a0db1e1e98a7103635e89cac7d6f558d6b172c11f60cda"
"P17-T10",9,2026175710,16001,18000,2000,2000,0,"f3f27c25f46cf781df12eccc8aaab0ded398148f9f3aa85d1da9b0e82d4c8762"
"P17-T10",10,2026175711,18001,20000,2000,2000,0,"0f67e4a84016ae8ab2054920f2165346016c28a4559279b0a26dd97275397a90"
"P17-T10",11,2026175712,20001,22000,2000,2000,0,"82c6fdfa7ce6894bd3b0094341e4003c47363bfacfff7d0359fb097f51344b81"
"P17-T10",12,2026175713,22001,24000,2000,2000,0,"e63a1ac6007659eee650d9604e9c322c73f0a5ce919288579f399dc693902ea0"
"P17-T10",13,2026175714,24001,26000,2000,2000,0,"eadbf40f077e4c369bccf00dea46c5fd0d46b05f23126e6e9977c3e3f340d2bf"
"P17-T10",14,2026175715,26001,28000,2000,2000,0,"640bec55db0fd29c96d668e82003eb5023a0801af84c3370b225f1724af5112a"
"P17-T10",15,2026175716,28001,30000,2000,2000,0,"da2752da447213ac7bc1cdcfa3df528792de444e1d547a70f18fcf8564260951"
"P17-T10",16,2026175717,30001,32000,2000,2000,0,"5dde53662d8fc8a26daccf5f8c12638e325fdb10ab19959bcaa8a6b114618f89"
"P17-T10",17,2026175718,32001,34000,2000,2000,0,"64e619085e9d5d404655730b22414cc8e5de28f6df5f0ad12be1f506b4acd201"
"P17-T10",18,2026175719,34001,36000,2000,2000,0,"327f634406ea8d2f1fb9808c802c7aa68b0267afb28615f18464841d23fd5ad4"
"P17-T10",19,2026175720,36001,38000,2000,2000,0,"41ba60c711a5e189e47902d346ec47be4831192a5d6467dd785b92e6ba6e58ee"
"P17-T10",20,2026175721,38001,40000,2000,2000,0,"ec69e0ca639afa1565493d3583cfd4374bcd97631ccb15d61e465acba1ff7745"
"P17-T10",21,2026175722,40001,42000,2000,2000,0,"e826bb1824e32fc2b4d38314f105b2e431db1addff4954cfaa6ad182601dcb13"
"P17-T10",22,2026175723,42001,44000,2000,2000,0,"625061a78286e85282da1adbb842b6281db37f957fa91f489103fb82a318f568"
"P17-T10",23,2026175724,44001,46000,2000,2000,0,"2c8a0ff40ee78eda7d2ab1ed03e884d04a6915b26cf991f4862790d9573c55ce"
"P17-T10",24,2026175725,46001,48000,2000,2000,0,"7ae0b9f12e8c1ce88cbf21f70b1a154c1f27045bfa8b5847a8d14a8f3dcc322e"
