"method_id","target_id","point_estimate","truth","bias","lower","upper","center","interval_length","se_equivalent","cover","defined_draws","total_draws","invalid_fraction","status","cell_id","replication","G","N","latent_icc","size_mechanism","strength","regularity","minimum_cluster_size","maximum_cluster_size","size_effect_correlation","sample_minimum_internal_cdf_gap","sample_exact_knot_count","replication_elapsed_seconds"
"V4-PRI-TWO-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.498932029783487,0.470076221909826,0.0288558078736617,0.421584392485637,0.57944938060708,0.500516886546359,0.157864988121443,0.0384171598597685,TRUE,199,199,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-SENS-TWO-STAGE-HBB-CLUSTER-v1","V4-TARGET-EQUAL-CLUSTER-v1",0.511321944399022,0.470076221909826,0.0412457224891967,0.43750964553949,0.58704442367864,0.512277034609065,0.14953477813915,0.0408495559744134,TRUE,199,199,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.498932029783487,0.470076221909826,0.0288558078736617,0.442281470860525,0.54406999937641,0.493175735118468,0.101788528515885,0.0256183867499194,TRUE,199,199,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",0.498932029783487,0.470076221909826,0.0288558078736617,0.449498918882585,0.542701785582241,0.496100352232413,0.0932028666996554,0.0240084689655345,TRUE,199,199,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-CMP-TWO-STAGE-FREQ-BOOT-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.498932029783487,0.470076221909826,0.0288558078736617,0.422648531240056,0.56845356072977,0.495551045984913,0.145805029489713,0.0332772664203784,TRUE,199,199,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-CMP-MOKKEN-TWOLEVEL-DELTA-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.498932029783498,0.470076221909826,0.0288558078736723,0.438201798692535,0.559662260874461,0.498932029783498,0.121460462181926,0.0309853811447534,TRUE,,,0,"OK","P14-C004",1,20,445,0.05,"swmdk_like","strong","near_knot",8,29,-0.285780309501695,0,1,0.0739999999999998
"V4-PRI-TWO-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.489503406363164,0.470076221909826,0.0194271844533378,0.405901940045973,0.571477376712415,0.488689658379194,0.165575436666442,0.0416813947032256,TRUE,199,199,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-SENS-TWO-STAGE-HBB-CLUSTER-v1","V4-TARGET-EQUAL-CLUSTER-v1",0.493179576158415,0.470076221909826,0.0231033542485894,0.386320852292427,0.570083531766287,0.478202192029357,0.18376267947386,0.0470376748602082,TRUE,199,199,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.489503406363164,0.470076221909826,0.0194271844533378,0.433226862280508,0.528905161704419,0.481066011992463,0.0956782994239118,0.0234844950594077,TRUE,199,199,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",0.489503406363164,0.470076221909826,0.0194271844533378,0.440189970422618,0.53992895544584,0.490059462934229,0.0997389850232213,0.0262121041486846,TRUE,199,199,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-CMP-TWO-STAGE-FREQ-BOOT-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.489503406363164,0.470076221909826,0.0194271844533378,0.41755844942576,0.555048577164152,0.486303513294956,0.137490127738392,0.0337044718754017,TRUE,199,199,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-CMP-MOKKEN-TWOLEVEL-DELTA-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.489503406363169,0.470076221909826,0.0194271844533435,0.42481528291304,0.554191529813298,0.489503406363169,0.129376246900258,0.0330047510874591,TRUE,,,0,"OK","P14-C004",2,20,438,0.05,"swmdk_like","strong","near_knot",10,27,-0.496468947243271,0.00456621004566204,0,0.0709999999999997
"V4-PRI-TWO-STAGE-HBB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.476032377555231,0.470076221909826,0.00595615564540519,0.397798611642589,0.546354492388927,0.472076552015758,0.148555880746339,0.0375302215672278,TRUE,199,199,0,"OK","P14-C004",3,20,434,0.05,"swmdk_like","strong","near_knot",8,29,0.192691441699234,0.00921658986175089,0,0.0839999999999996
"V4-SENS-TWO-STAGE-HBB-CLUSTER-v1","V4-TARGET-EQUAL-CLUSTER-v1",0.473382281241415,0.470076221909826,0.00330605933158895,0.414549724787079,0.548869991970382,0.481709858378731,0.134320267183303,0.0358474958577863,TRUE,199,199,0,"OK","P14-C004",3,20,434,0.05,"swmdk_like","strong","near_knot",8,29,0.192691441699234,0.00921658986175089,0,0.0839999999999996
"V4-CMP-ONE-STAGE-CLUSTER-BB-RESP-v1","V4-TARGET-RESPONDENT-WEIGHTED-v1",0.476032377555231,0.470076221909826,0.00595615564540519,0.440458422189121,0.518379598848733,0.479419010518927,0.0779211766596116,0.0182254468361292,TRUE,199,199,0,"OK","P14-C004",3,20,434,0.05,"swmdk_like","strong","near_knot",8,29,0.192691441699234,0.00921658986175089,0,0.0839999999999996
"V4-CMP-IID-RESP-BB-v1","WORKING-INDEPENDENCE-RESPONDENT",0.476032377555231,0.470076221909826,0.00595615564540519,0.421974318900446,0.525193057102609,0.473583688001527,0.103218738202163,0.0243317315473523,TRUE,199,199,0,"OK","P14-C004",3,20,434,0.05,"swmdk_like","strong","near_knot",8,29,0.192691441699234,0.00921658986175089,0,0.0839999999999996
