"kx","ky","score_variant","cases","passed","failed","maximum_absolute_discrepancy","maximum_marginal_residual","maximum_objective_residual"
2,2,"consecutive",25,25,0,0,0,0
2,2,"gapped",25,25,0,0,0,0
2,3,"consecutive",60,60,0,2.22044604925031e-16,1.11022302462516e-16,0
2,3,"gapped",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
2,4,"consecutive",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
2,4,"gapped",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
2,5,"consecutive",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
2,5,"gapped",60,60,0,8.88178419700125e-16,2.22044604925031e-16,0
3,2,"consecutive",60,60,0,2.22044604925031e-16,2.22044604925031e-16,0
3,2,"gapped",60,60,0,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-16
3,3,"consecutive",144,144,0,4.44089209850063e-16,1.11022302462516e-16,0
3,3,"gapped",144,144,0,8.88178419700125e-16,1.11022302462516e-16,8.88178419700125e-16
3,4,"consecutive",144,144,0,8.88178419700125e-16,2.22044604925031e-16,4.44089209850063e-16
3,4,"gapped",144,144,0,1.77635683940025e-15,2.22044604925031e-16,1.77635683940025e-15
3,5,"consecutive",144,144,0,8.88178419700125e-16,2.22044604925031e-16,0
3,5,"gapped",144,144,0,1.77635683940025e-15,2.22044604925031e-16,1.77635683940025e-15
4,2,"consecutive",60,60,0,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-16
4,2,"gapped",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
4,3,"consecutive",144,144,0,8.88178419700125e-16,2.22044604925031e-16,4.44089209850063e-16
4,3,"gapped",144,144,0,1.77635683940025e-15,2.22044604925031e-16,1.77635683940025e-15
4,4,"consecutive",144,144,0,8.88178419700125e-16,1.11022302462516e-16,8.88178419700125e-16
4,4,"gapped",144,144,0,2.66453525910038e-15,2.22044604925031e-16,0
4,5,"consecutive",144,144,0,1.77635683940025e-15,2.22044604925031e-16,1.77635683940025e-15
4,5,"gapped",144,144,0,1.77635683940025e-15,1.66533453693773e-16,3.5527136788005e-15
5,2,"consecutive",60,60,0,4.44089209850063e-16,1.11022302462516e-16,0
5,2,"gapped",60,60,0,8.88178419700125e-16,2.22044604925031e-16,0
5,3,"consecutive",144,144,0,8.88178419700125e-16,2.22044604925031e-16,0
5,3,"gapped",144,144,0,1.77635683940025e-15,1.11022302462516e-16,1.77635683940025e-15
5,4,"consecutive",144,144,0,1.33226762955019e-15,1.66533453693773e-16,1.77635683940025e-15
5,4,"gapped",144,144,0,3.5527136788005e-15,2.22044604925031e-16,3.5527136788005e-15
5,5,"consecutive",144,144,0,1.77635683940025e-15,2.22044604925031e-16,1.77635683940025e-15
5,5,"gapped",144,144,0,7.105427357601e-15,2.22044604925031e-16,1.77635683940025e-15
